Model,Horizon,False_Positive_Rate,True_Positive_Rate,Threshold
Logistic Regression,1-day,0.0,0.0,inf
Logistic Regression,1-day,0.0,0.00980392156862745,0.6679691513973018
Logistic Regression,1-day,0.0,0.0196078431372549,0.6355216828952122
Logistic Regression,1-day,0.008849557522123894,0.0196078431372549,0.6235144375892654
Logistic Regression,1-day,0.008849557522123894,0.049019607843137254,0.6018307992866153
Logistic Regression,1-day,0.017699115044247787,0.049019607843137254,0.6007296203370255
Logistic Regression,1-day,0.017699115044247787,0.058823529411764705,0.6000844886020518
Logistic Regression,1-day,0.035398230088495575,0.058823529411764705,0.5991701238053713
Logistic Regression,1-day,0.035398230088495575,0.06862745098039216,0.5985745519918872
Logistic Regression,1-day,0.04424778761061947,0.06862745098039216,0.5832761150495165
Logistic Regression,1-day,0.04424778761061947,0.08823529411764706,0.5771558296960551
Logistic Regression,1-day,0.05309734513274336,0.08823529411764706,0.5755943001358859
Logistic Regression,1-day,0.05309734513274336,0.09803921568627451,0.5724535826159637
Logistic Regression,1-day,0.061946902654867256,0.09803921568627451,0.5710684289036673
Logistic Regression,1-day,0.061946902654867256,0.14705882352941177,0.5642375252764712
Logistic Regression,1-day,0.09734513274336283,0.14705882352941177,0.5620546952763319
Logistic Regression,1-day,0.09734513274336283,0.18627450980392157,0.5606270077971449
Logistic Regression,1-day,0.10619469026548672,0.18627450980392157,0.5606072135079182
Logistic Regression,1-day,0.10619469026548672,0.20588235294117646,0.558334058482573
Logistic Regression,1-day,0.12389380530973451,0.20588235294117646,0.5541005324313213
Logistic Regression,1-day,0.12389380530973451,0.24509803921568626,0.5483876161454472
Logistic Regression,1-day,0.1504424778761062,0.24509803921568626,0.5471894326732728
Logistic Regression,1-day,0.1504424778761062,0.2549019607843137,0.5464489653746853
Logistic Regression,1-day,0.17699115044247787,0.2549019607843137,0.5435567272662843
Logistic Regression,1-day,0.17699115044247787,0.27450980392156865,0.5422264126702757
Logistic Regression,1-day,0.20353982300884957,0.27450980392156865,0.5399179428990016
Logistic Regression,1-day,0.20353982300884957,0.28431372549019607,0.5398552460326151
Logistic Regression,1-day,0.21238938053097345,0.28431372549019607,0.5375473791156832
Logistic Regression,1-day,0.21238938053097345,0.3137254901960784,0.5351970600730965
Logistic Regression,1-day,0.22123893805309736,0.3137254901960784,0.5349951400045059
Logistic Regression,1-day,0.22123893805309736,0.3235294117647059,0.5347217007510009
Logistic Regression,1-day,0.25663716814159293,0.3235294117647059,0.5333388057471888
Logistic Regression,1-day,0.25663716814159293,0.35294117647058826,0.5296588067420329
Logistic Regression,1-day,0.2831858407079646,0.35294117647058826,0.5249523196975067
Logistic Regression,1-day,0.2831858407079646,0.37254901960784315,0.5237466206960615
Logistic Regression,1-day,0.30973451327433627,0.37254901960784315,0.5228509378664443
Logistic Regression,1-day,0.30973451327433627,0.38235294117647056,0.5225409438696499
Logistic Regression,1-day,0.3185840707964602,0.38235294117647056,0.5208654780961722
Logistic Regression,1-day,0.3185840707964602,0.39215686274509803,0.5207348790973967
Logistic Regression,1-day,0.3274336283185841,0.39215686274509803,0.5197632359422497
Logistic Regression,1-day,0.3274336283185841,0.4019607843137255,0.5194625196086039
Logistic Regression,1-day,0.336283185840708,0.4019607843137255,0.5193626541038734
Logistic Regression,1-day,0.336283185840708,0.4117647058823529,0.5193602088076017
Logistic Regression,1-day,0.36283185840707965,0.4117647058823529,0.5176897440476156
Logistic Regression,1-day,0.36283185840707965,0.4411764705882353,0.5173915238988013
Logistic Regression,1-day,0.3805309734513274,0.4411764705882353,0.5168152389422405
Logistic Regression,1-day,0.3805309734513274,0.46078431372549017,0.5166409388139362
Logistic Regression,1-day,0.3893805309734513,0.46078431372549017,0.5160391909400589
Logistic Regression,1-day,0.3893805309734513,0.47058823529411764,0.5150674427472595
Logistic Regression,1-day,0.40707964601769914,0.47058823529411764,0.5130575803078199
Logistic Regression,1-day,0.40707964601769914,0.5,0.5123313591948616
Logistic Regression,1-day,0.4247787610619469,0.5,0.51069436351965
Logistic Regression,1-day,0.4247787610619469,0.5098039215686274,0.5093123643159857
Logistic Regression,1-day,0.45132743362831856,0.5098039215686274,0.5064796163324812
Logistic Regression,1-day,0.45132743362831856,0.5392156862745098,0.5060864577707839
Logistic Regression,1-day,0.4690265486725664,0.5392156862745098,0.5052724291680563
Logistic Regression,1-day,0.4690265486725664,0.5490196078431373,0.5051195317096286
Logistic Regression,1-day,0.504424778761062,0.5490196078431373,0.5008407078707984
Logistic Regression,1-day,0.504424778761062,0.5588235294117647,0.5004625178868458
Logistic Regression,1-day,0.5132743362831859,0.5588235294117647,0.5001213092383429
Logistic Regression,1-day,0.5132743362831859,0.5686274509803921,0.49987360774850365
Logistic Regression,1-day,0.5221238938053098,0.5686274509803921,0.49867303395250634
Logistic Regression,1-day,0.5221238938053098,0.5784313725490197,0.4969164023229964
Logistic Regression,1-day,0.5309734513274337,0.5784313725490197,0.49662239363710686
Logistic Regression,1-day,0.5309734513274337,0.5980392156862745,0.4955055071496911
Logistic Regression,1-day,0.5486725663716814,0.5980392156862745,0.4936327672438211
Logistic Regression,1-day,0.5486725663716814,0.6078431372549019,0.493374277027756
Logistic Regression,1-day,0.5929203539823009,0.6078431372549019,0.4911073065347262
Logistic Regression,1-day,0.5929203539823009,0.6176470588235294,0.49017830133217977
Logistic Regression,1-day,0.6017699115044248,0.6176470588235294,0.49012883584632855
Logistic Regression,1-day,0.6017699115044248,0.6274509803921569,0.4900499161285692
Logistic Regression,1-day,0.6106194690265486,0.6274509803921569,0.4897775136149638
Logistic Regression,1-day,0.6106194690265486,0.6568627450980392,0.4886473223153643
Logistic Regression,1-day,0.6371681415929203,0.6568627450980392,0.4870982605492993
Logistic Regression,1-day,0.6371681415929203,0.6666666666666666,0.48631160284231134
Logistic Regression,1-day,0.6637168141592921,0.6666666666666666,0.4820068068214762
Logistic Regression,1-day,0.6637168141592921,0.7352941176470589,0.4781251571673312
Logistic Regression,1-day,0.672566371681416,0.7352941176470589,0.47693958713240364
Logistic Regression,1-day,0.672566371681416,0.7450980392156863,0.47606255860209395
Logistic Regression,1-day,0.6991150442477876,0.7450980392156863,0.47427710207736107
Logistic Regression,1-day,0.6991150442477876,0.7745098039215687,0.4722976542788566
Logistic Regression,1-day,0.7079646017699115,0.7745098039215687,0.472265843431048
Logistic Regression,1-day,0.7079646017699115,0.7843137254901961,0.47224629341750696
Logistic Regression,1-day,0.7168141592920354,0.7843137254901961,0.4720348291249896
Logistic Regression,1-day,0.7168141592920354,0.803921568627451,0.4696589892089255
Logistic Regression,1-day,0.7345132743362832,0.803921568627451,0.46877171751127733
Logistic Regression,1-day,0.7345132743362832,0.8137254901960784,0.4681499224441069
Logistic Regression,1-day,0.7433628318584071,0.8137254901960784,0.46571705915971723
Logistic Regression,1-day,0.7433628318584071,0.8431372549019608,0.4640369656121844
Logistic Regression,1-day,0.7964601769911505,0.8431372549019608,0.4606092401543153
Logistic Regression,1-day,0.7964601769911505,0.8627450980392157,0.45618835017881465
Logistic Regression,1-day,0.8053097345132744,0.8627450980392157,0.4547252992453941
Logistic Regression,1-day,0.8053097345132744,0.8921568627450981,0.45270710863961955
Logistic Regression,1-day,0.8407079646017699,0.8921568627450981,0.45102978563601787
Logistic Regression,1-day,0.8407079646017699,0.9019607843137255,0.44988728361848884
Logistic Regression,1-day,0.8495575221238938,0.9019607843137255,0.4481295972875986
Logistic Regression,1-day,0.8495575221238938,0.9117647058823529,0.4480919525870605
Logistic Regression,1-day,0.8584070796460177,0.9117647058823529,0.44304632877262984
Logistic Regression,1-day,0.8584070796460177,0.9411764705882353,0.4397677860257456
Logistic Regression,1-day,0.8938053097345132,0.9411764705882353,0.43496647988338116
Logistic Regression,1-day,0.8938053097345132,0.9607843137254902,0.43376285857479546
Logistic Regression,1-day,0.911504424778761,0.9607843137254902,0.4307480841287952
Logistic Regression,1-day,0.911504424778761,0.9705882352941176,0.4224677713645965
Logistic Regression,1-day,0.9823008849557522,0.9705882352941176,0.4062357962127444
Logistic Regression,1-day,0.9823008849557522,0.9803921568627451,0.4060224774026732
Logistic Regression,1-day,0.9911504424778761,0.9803921568627451,0.39911387652751756
Logistic Regression,1-day,0.9911504424778761,1.0,0.3966179081803615
Logistic Regression,1-day,1.0,1.0,0.3896838489679079
SVM,1-day,0.0,0.0,inf
SVM,1-day,0.0,0.00980392156862745,0.5197315138133906
