Horizon,Feature,Importance
1-day,SMA_10_pct,0.14197215179295178
1-day,STOCH_K_14,0.1397075074338866
1-day,MACD_signal_9_pct,0.14465780099965342
1-day,RSI_14,0.14797598204463558
1-day,CCI_20,0.1414870807551363
1-day,turnover,0.14405362544737368
1-day,volatility,0.14014585152636277
7-day,SMA_10_pct,0.1323068835901481
7-day,STOCH_K_14,0.13318284704152028
7-day,MACD_signal_9_pct,0.16174631844434348
7-day,RSI_14,0.1384696864876471
7-day,CCI_20,0.1349177024705663
7-day,turnover,0.1353383022810918
7-day,volatility,0.1640382596846829
30-day,SMA_10_pct,0.12126202591914753
30-day,STOCH_K_14,0.12171409813614527
30-day,MACD_signal_9_pct,0.18653042358893832
30-day,RSI_14,0.13665455228536294
30-day,CCI_20,0.1217368768407956
30-day,turnover,0.11617771604074358
30-day,volatility,0.19592430718886678
