Model,Horizon,Ticker,Observations,Accuracy,ROC_AUC,Precision,Recall,F1,Up_Proportion_Actual
LSTM,1-day,ASC,299,0.4816053511705686,0.4813620071684588,0.44329896907216493,0.2986111111111111,0.35684647302904565,0.4816053511705686
LSTM,1-day,RR,290,0.496551724137931,0.45524639624539054,0.5297297297297298,0.6242038216560509,0.5730994152046783,0.5413793103448276
Logistic Regression,1-day,ASC,299,0.5418060200668896,0.5618727598566309,0.5714285714285714,0.19444444444444445,0.29015544041450775,0.4816053511705686
Logistic Regression,1-day,RR,290,0.44482758620689655,0.4533786696039462,0.47674418604651164,0.2611464968152866,0.3374485596707819,0.5413793103448276
Random Forest,1-day,ASC,299,0.5083612040133779,0.49861111111111117,0.48514851485148514,0.3402777777777778,0.4,0.4816053511705686
Random Forest,1-day,RR,290,0.43448275862068964,0.45950864422202,0.4732824427480916,0.39490445859872614,0.4305555555555556,0.5413793103448276
SVM,1-day,ASC,299,0.4916387959866221,0.5116487455197133,0.4782608695652174,0.6111111111111112,0.5365853658536586,0.4816053511705686
SVM,1-day,RR,290,0.47586206896551725,0.5089315645802405,0.5242718446601942,0.34394904458598724,0.4153846153846154,0.5413793103448276
LSTM,7-day,ASC,298,0.4261744966442953,0.43246659443842544,0.45454545454545453,0.4807692307692308,0.4672897196261682,0.5234899328859061
LSTM,7-day,RR,289,0.5051903114186851,0.5110403615076512,0.6444444444444445,0.47802197802197804,0.5488958990536278,0.629757785467128
Logistic Regression,7-day,ASC,298,0.5167785234899329,0.4619898880462261,0.53125,0.6538461538461539,0.5862068965517241,0.5234899328859061
Logistic Regression,7-day,RR,289,0.5536332179930796,0.5285508883639725,0.6778523489932886,0.554945054945055,0.6102719033232629,0.629757785467128
Random Forest,7-day,ASC,298,0.49328859060402686,0.4707927049476345,0.5159235668789809,0.5192307692307693,0.5175718849840255,0.5234899328859061
Random Forest,7-day,RR,289,0.4671280276816609,0.48564753004005345,0.609375,0.42857142857142855,0.5032258064516129,0.629757785467128
SVM,7-day,ASC,298,0.4161073825503356,0.3896487901769592,0.4262295081967213,0.3333333333333333,0.37410071942446044,0.5234899328859061
SVM,7-day,RR,289,0.47058823529411764,0.4230769230769231,0.5759162303664922,0.6043956043956044,0.5898123324396782,0.629757785467128
LSTM,30-day,ASC,294,0.43197278911564624,0.32292100513674854,0.41379310344827586,0.32653061224489793,0.3650190114068441,0.5
LSTM,30-day,RR,284,0.676056338028169,0.5447225625765797,0.7292576419213974,0.8477157360406091,0.784037558685446,0.6936619718309859
Logistic Regression,30-day,ASC,294,0.5476190476190477,0.5250590031931139,0.5448717948717948,0.5782312925170068,0.5610561056105611,0.5
Logistic Regression,30-day,RR,284,0.5633802816901409,0.49011027481183267,0.6713615023474179,0.7258883248730964,0.697560975609756,0.6936619718309859
Random Forest,30-day,ASC,294,0.42857142857142855,0.33483733629506224,0.3894736842105263,0.25170068027210885,0.30578512396694213,0.5
Random Forest,30-day,RR,284,0.4612676056338028,0.3724838088569928,0.6325301204819277,0.5329949238578681,0.5785123966942148,0.6936619718309859
SVM,30-day,ASC,294,0.46598639455782315,0.36639825998426584,0.4444444444444444,0.272108843537415,0.33755274261603374,0.5
SVM,30-day,RR,284,0.573943661971831,0.44445416885465905,0.6711711711711712,0.7563451776649747,0.711217183770883,0.6936619718309859
