Model,Horizon,Accuracy,ROC_AUC,Precision,Recall,F1,Baseline_Accuracy
Logistic Regression,1-day,0.4940577249575552,0.5136697120708749,0.5111111111111111,0.2292358803986711,0.3165137614678899,0.48896434634974534
SVM,1-day,0.4838709677419355,0.49741602067183466,0.49477351916376305,0.4717607973421927,0.48299319727891155,0.48896434634974534
Random Forest,1-day,0.47198641765704585,0.48389627168696947,0.47844827586206895,0.3687707641196013,0.4165103189493433,0.48896434634974534
LSTM,1-day,0.48896434634974534,0.47952427094868955,0.5,0.4684385382059801,0.483704974271012,0.48896434634974534
Logistic Regression,7-day,0.534923339011925,0.47958698700125946,0.5953079178885631,0.6005917159763313,0.5979381443298969,0.575809199318569
SVM,7-day,0.44293015332197616,0.41768256457783803,0.5175718849840255,0.47928994082840237,0.4976958525345622,0.575809199318569
Random Forest,7-day,0.4804088586030664,0.47384805494166016,0.5578947368421052,0.47041420118343197,0.5104333868378812,0.575809199318569
LSTM,7-day,0.46507666098807493,0.4577600342197191,0.54,0.47928994082840237,0.5078369905956113,0.575809199318569
Logistic Regression,30-day,0.5553633217993079,0.5380888491353608,0.6178861788617886,0.6627906976744186,0.6395511921458625,0.5951557093425606
SVM,30-day,0.5190311418685121,0.4836140926257206,0.6057692307692307,0.5494186046511628,0.5762195121951219,0.5951557093425606
Random Forest,30-day,0.444636678200692,0.4097967600874577,0.5440613026819924,0.4127906976744186,0.46942148760330576,0.5951557093425606
LSTM,30-day,0.5519031141868512,0.4949811170741404,0.6231884057971014,0.625,0.6240928882438317,0.5951557093425606
