Horizon,Feature,Importance
1-day,SMA_10_pct,0.10411971191512515
1-day,STOCH_K_14,0.11044504977859236
1-day,MACD_signal_9_pct,0.12098446575615346
1-day,RSI_14,0.10667291938805706
1-day,CCI_20,0.10780496797950852
1-day,turnover,0.11528179760769738
1-day,volatility,0.12314121759605412
1-day,daily_compound_sentiment,0.1295943401043303
1-day,sue,0.08195552987448151
7-day,SMA_10_pct,0.09192696985149369
7-day,STOCH_K_14,0.07369083179427402
7-day,MACD_signal_9_pct,0.16186160925954152
7-day,RSI_14,0.09195030850485161
7-day,CCI_20,0.09973599543075512
7-day,turnover,0.09089556879961629
7-day,volatility,0.16237259802404916
7-day,daily_compound_sentiment,0.07994929189889767
7-day,sue,0.14761682643652102
30-day,SMA_10_pct,0.07119656436918442
30-day,STOCH_K_14,0.09430788412532713
30-day,MACD_signal_9_pct,0.17542036476831752
30-day,RSI_14,0.10549894825253939
30-day,CCI_20,0.0867850091094088
30-day,turnover,0.08086133806419851
30-day,volatility,0.13643130049340288
30-day,daily_compound_sentiment,0.06399321826065509
30-day,sue,0.18550537255696622
