Model,Horizon,Ticker,Observations,Accuracy,ROC_AUC,Precision,Recall,F1,Up_Proportion_Actual
LSTM,1-day,ASC,108,0.5185185185185185,0.41252236135957066,0.5714285714285714,0.8,0.6666666666666666,0.6018518518518519
Logistic Regression,1-day,ASC,108,0.5462962962962963,0.4493738819320215,0.6,0.7384615384615385,0.6620689655172414,0.6018518518518519
Random Forest,1-day,ASC,108,0.4166666666666667,0.3826475849731664,0.5147058823529411,0.5384615384615384,0.5263157894736842,0.6018518518518519
SVM,1-day,ASC,108,0.5833333333333334,0.3871198568872988,0.5961538461538461,0.9538461538461539,0.7337278106508875,0.6018518518518519
LSTM,7-day,ASC,108,0.5648148148148148,0.4973684210526316,0.6352941176470588,0.7714285714285715,0.6967741935483871,0.6481481481481481
Logistic Regression,7-day,ASC,108,0.4444444444444444,0.41203007518796997,0.5961538461538461,0.44285714285714284,0.5081967213114754,0.6481481481481481
Random Forest,7-day,ASC,108,0.4722222222222222,0.3695488721804512,0.5942028985507246,0.5857142857142857,0.5899280575539568,0.6481481481481481
SVM,7-day,ASC,108,0.35185185185185186,0.31203007518797,0.5,0.37142857142857144,0.4262295081967213,0.6481481481481481
LSTM,30-day,ASC,108,0.4722222222222222,0.7455357142857144,0.9655172413793104,0.3333333333333333,0.49557522123893805,0.7777777777777778
Logistic Regression,30-day,ASC,108,0.5277777777777778,0.44494047619047616,0.7796610169491526,0.5476190476190477,0.6433566433566433,0.7777777777777778
Random Forest,30-day,ASC,108,0.5277777777777778,0.28943452380952384,0.7391304347826086,0.6071428571428571,0.6666666666666666,0.7777777777777778
SVM,30-day,ASC,108,0.5555555555555556,0.4226190476190476,0.75,0.6428571428571429,0.6923076923076923,0.7777777777777778
