Model,Horizon,False_Positive_Rate,True_Positive_Rate,Threshold
Logistic Regression,1-day,0.0,0.0,inf
Logistic Regression,1-day,0.0,0.015384615384615385,0.7508869330161531
Logistic Regression,1-day,0.0,0.07692307692307693,0.6922307763898125
Logistic Regression,1-day,0.023255813953488372,0.07692307692307693,0.688624371253568
Logistic Regression,1-day,0.023255813953488372,0.09230769230769231,0.6881285757531492
Logistic Regression,1-day,0.06976744186046512,0.09230769230769231,0.6732445620801618
Logistic Regression,1-day,0.06976744186046512,0.12307692307692308,0.6716840892015029
Logistic Regression,1-day,0.16279069767441862,0.12307692307692308,0.6348220017887064
Logistic Regression,1-day,0.16279069767441862,0.13846153846153847,0.6345803174874562
Logistic Regression,1-day,0.18604651162790697,0.13846153846153847,0.6316296667607956
Logistic Regression,1-day,0.18604651162790697,0.16923076923076924,0.6310051811628435
Logistic Regression,1-day,0.27906976744186046,0.16923076923076924,0.6185991680576863
Logistic Regression,1-day,0.27906976744186046,0.18461538461538463,0.6181863400765029
Logistic Regression,1-day,0.32558139534883723,0.18461538461538463,0.6132344076295769
Logistic Regression,1-day,0.32558139534883723,0.2,0.6117847422411518
Logistic Regression,1-day,0.3488372093023256,0.2,0.610213517723085
Logistic Regression,1-day,0.3488372093023256,0.23076923076923078,0.5985942638570718
Logistic Regression,1-day,0.37209302325581395,0.23076923076923078,0.5981547029277117
Logistic Regression,1-day,0.37209302325581395,0.26153846153846155,0.594599359248247
Logistic Regression,1-day,0.3953488372093023,0.26153846153846155,0.5907595375881971
Logistic Regression,1-day,0.3953488372093023,0.2923076923076923,0.5849166645589716
Logistic Regression,1-day,0.4186046511627907,0.2923076923076923,0.5837179884649433
Logistic Regression,1-day,0.4186046511627907,0.35384615384615387,0.576191364908308
Logistic Regression,1-day,0.4418604651162791,0.35384615384615387,0.5752292004311373
Logistic Regression,1-day,0.4418604651162791,0.4,0.5691351868961899
Logistic Regression,1-day,0.5116279069767442,0.4,0.5666648302474173
Logistic Regression,1-day,0.5116279069767442,0.4307692307692308,0.5597651959596034
Logistic Regression,1-day,0.5813953488372093,0.4307692307692308,0.5547050332646164
Logistic Regression,1-day,0.5813953488372093,0.47692307692307695,0.5488506223108007
Logistic Regression,1-day,0.6046511627906976,0.47692307692307695,0.547719350904176
Logistic Regression,1-day,0.6046511627906976,0.49230769230769234,0.5455814546645932
Logistic Regression,1-day,0.627906976744186,0.49230769230769234,0.5426891347937408
Logistic Regression,1-day,0.627906976744186,0.6153846153846154,0.5277044040849987
Logistic Regression,1-day,0.6744186046511628,0.6153846153846154,0.5247028476484921
Logistic Regression,1-day,0.6744186046511628,0.6307692307692307,0.5235616264702608
Logistic Regression,1-day,0.7209302325581395,0.6307692307692307,0.5227409437390012
Logistic Regression,1-day,0.7209302325581395,0.7384615384615385,0.5042537118463666
Logistic Regression,1-day,0.7441860465116279,0.7384615384615385,0.5004018649668079
Logistic Regression,1-day,0.7441860465116279,0.7538461538461538,0.4994732354281822
Logistic Regression,1-day,0.7674418604651163,0.7538461538461538,0.497655290598903
Logistic Regression,1-day,0.7674418604651163,0.7692307692307693,0.49317080036897015
Logistic Regression,1-day,0.7906976744186046,0.7692307692307693,0.49201895701666437
Logistic Regression,1-day,0.7906976744186046,0.8307692307692308,0.48435438292254485
Logistic Regression,1-day,0.8372093023255814,0.8307692307692308,0.4793482193981969
Logistic Regression,1-day,0.8372093023255814,0.8615384615384616,0.4727174695503604
Logistic Regression,1-day,0.9534883720930233,0.8615384615384616,0.461181640542624
Logistic Regression,1-day,0.9534883720930233,0.9076923076923077,0.45426261928285366
Logistic Regression,1-day,0.9767441860465116,0.9076923076923077,0.45242620515001697
Logistic Regression,1-day,0.9767441860465116,0.9538461538461539,0.4103494498184684
Logistic Regression,1-day,1.0,0.9538461538461539,0.386404617152978
Logistic Regression,1-day,1.0,1.0,0.3512106158074999
SVM,1-day,0.0,0.0,inf
SVM,1-day,0.0,0.015384615384615385,0.5508820700438848
SVM,1-day,0.16279069767441862,0.015384615384615385,0.5421179751784674
SVM,1-day,0.16279069767441862,0.03076923076923077,0.5418784316870006
SVM,1-day,0.23255813953488372,0.03076923076923077,0.539532422746697
SVM,1-day,0.23255813953488372,0.06153846153846154,0.5391906290714257
SVM,1-day,0.27906976744186046,0.06153846153846154,0.5387879485646253
SVM,1-day,0.27906976744186046,0.07692307692307693,0.5378652548248392
SVM,1-day,0.37209302325581395,0.07692307692307693,0.53508069319469
SVM,1-day,0.37209302325581395,0.1076923076923077,0.5341965618577067
SVM,1-day,0.4186046511627907,0.1076923076923077,0.5334198658031107
SVM,1-day,0.4186046511627907,0.16923076923076924,0.5317945521428735
SVM,1-day,0.4418604651162791,0.16923076923076924,0.5312748354492114
SVM,1-day,0.4418604651162791,0.3076923076923077,0.5294352002655582
SVM,1-day,0.46511627906976744,0.3076923076923077,0.5291097914574858
SVM,1-day,0.46511627906976744,0.35384615384615387,0.5282830245674338
SVM,1-day,0.4883720930232558,0.35384615384615387,0.5275709933378188
SVM,1-day,0.4883720930232558,0.4461538461538462,0.5248062411541418
SVM,1-day,0.5348837209302325,0.4461538461538462,0.5241501411084731
SVM,1-day,0.5348837209302325,0.46153846153846156,0.5232549337996952
SVM,1-day,0.5581395348837209,0.46153846153846156,0.5226119463536952
SVM,1-day,0.5581395348837209,0.49230769230769234,0.5223318670948961
SVM,1-day,0.627906976744186,0.49230769230769234,0.5220282159357411
SVM,1-day,0.627906976744186,0.5692307692307692,0.521142376275276
SVM,1-day,0.6511627906976745,0.5692307692307692,0.521112855535146
SVM,1-day,0.6511627906976745,0.5846153846153846,0.5208265635957413
SVM,1-day,0.6744186046511628,0.5846153846153846,0.5204219756521856
SVM,1-day,0.6744186046511628,0.6307692307692307,0.5193716574396969
SVM,1-day,0.7209302325581395,0.6307692307692307,0.519232298780588
SVM,1-day,0.7209302325581395,0.6615384615384615,0.5186890251545097
SVM,1-day,0.7441860465116279,0.6615384615384615,0.51727416969817
SVM,1-day,0.7441860465116279,0.6923076923076923,0.5149615194447116
SVM,1-day,0.7906976744186046,0.6923076923076923,0.5146599183518151
SVM,1-day,0.7906976744186046,0.7076923076923077,0.5143202864363949
SVM,1-day,0.813953488372093,0.7076923076923077,0.5142375030889118
SVM,1-day,0.813953488372093,0.7846153846153846,0.5128797125689283
SVM,1-day,0.8372093023255814,0.7846153846153846,0.512654004981647
SVM,1-day,0.8372093023255814,0.8307692307692308,0.5096935993408966
SVM,1-day,0.8837209302325582,0.8307692307692308,0.5086423323166662
SVM,1-day,0.8837209302325582,0.8615384615384616,0.5083984695000449
SVM,1-day,0.9302325581395349,0.8615384615384616,0.5057160361895752
SVM,1-day,0.9302325581395349,0.8769230769230769,0.5056689177463438
SVM,1-day,0.9767441860465116,0.9538461538461539,0.5
SVM,1-day,0.9767441860465116,0.9692307692307692,0.4949167860897433
SVM,1-day,1.0,0.9692307692307692,0.49446163622289696
SVM,1-day,1.0,1.0,0.4887137429737843
Random Forest,1-day,0.0,0.0,inf
Random Forest,1-day,0.0,0.015384615384615385,0.83
Random Forest,1-day,0.023255813953488372,0.015384615384615385,0.768
Random Forest,1-day,0.023255813953488372,0.07692307692307693,0.724
Random Forest,1-day,0.046511627906976744,0.07692307692307693,0.722
Random Forest,1-day,0.046511627906976744,0.1076923076923077,0.694
Random Forest,1-day,0.06976744186046512,0.12307692307692308,0.692
Random Forest,1-day,0.11627906976744186,0.12307692307692308,0.686
Random Forest,1-day,0.11627906976744186,0.13846153846153847,0.684
Random Forest,1-day,0.13953488372093023,0.13846153846153847,0.678
Random Forest,1-day,0.16279069767441862,0.15384615384615385,0.674
Random Forest,1-day,0.16279069767441862,0.16923076923076924,0.67
Random Forest,1-day,0.18604651162790697,0.18461538461538463,0.662
Random Forest,1-day,0.23255813953488372,0.18461538461538463,0.646
Random Forest,1-day,0.27906976744186046,0.18461538461538463,0.624
Random Forest,1-day,0.3023255813953488,0.2,0.62
Random Forest,1-day,0.3023255813953488,0.24615384615384617,0.612
Random Forest,1-day,0.32558139534883723,0.24615384615384617,0.61
Random Forest,1-day,0.32558139534883723,0.27692307692307694,0.6
Random Forest,1-day,0.3488372093023256,0.27692307692307694,0.598
Random Forest,1-day,0.3488372093023256,0.2923076923076923,0.594
Random Forest,1-day,0.46511627906976744,0.2923076923076923,0.578
Random Forest,1-day,0.5116279069767442,0.3076923076923077,0.572
Random Forest,1-day,0.5116279069767442,0.3230769230769231,0.57
Random Forest,1-day,0.5348837209302325,0.3230769230769231,0.568
Random Forest,1-day,0.5581395348837209,0.3384615384615385,0.566
Random Forest,1-day,0.5813953488372093,0.36923076923076925,0.564
Random Forest,1-day,0.627906976744186,0.36923076923076925,0.562
Random Forest,1-day,0.627906976744186,0.4,0.558
Random Forest,1-day,0.627906976744186,0.4307692307692308,0.548
Random Forest,1-day,0.6744186046511628,0.4307692307692308,0.542
Random Forest,1-day,0.6744186046511628,0.4461538461538462,0.53
Random Forest,1-day,0.6744186046511628,0.47692307692307695,0.526
Random Forest,1-day,0.6744186046511628,0.5230769230769231,0.516
Random Forest,1-day,0.6976744186046512,0.5230769230769231,0.512
Random Forest,1-day,0.6976744186046512,0.5384615384615384,0.51
Random Forest,1-day,0.7209302325581395,0.5384615384615384,0.504
Random Forest,1-day,0.7674418604651163,0.5384615384615384,0.502
Random Forest,1-day,0.813953488372093,0.5384615384615384,0.496
Random Forest,1-day,0.813953488372093,0.5692307692307692,0.494
Random Forest,1-day,0.8372093023255814,0.5692307692307692,0.49
Random Forest,1-day,0.8372093023255814,0.6153846153846154,0.484
Random Forest,1-day,0.8604651162790697,0.6153846153846154,0.482
Random Forest,1-day,0.8604651162790697,0.6307692307692307,0.48
Random Forest,1-day,0.8837209302325582,0.6615384615384615,0.476
Random Forest,1-day,0.9069767441860465,0.6615384615384615,0.47
Random Forest,1-day,0.9069767441860465,0.6923076923076923,0.466
Random Forest,1-day,0.9069767441860465,0.7230769230769231,0.464
Random Forest,1-day,0.9069767441860465,0.7538461538461538,0.448
Random Forest,1-day,0.9302325581395349,0.7538461538461538,0.446
Random Forest,1-day,0.9302325581395349,0.9384615384615385,0.38
Random Forest,1-day,0.9302325581395349,0.9692307692307692,0.376
Random Forest,1-day,0.9302325581395349,0.9846153846153847,0.368
Random Forest,1-day,1.0,0.9846153846153847,0.338
Random Forest,1-day,1.0,1.0,0.28
LSTM,1-day,0.0,0.0,inf
LSTM,1-day,0.0,0.015384615384615385,0.6088995933532715
LSTM,1-day,0.06976744186046512,0.015384615384615385,0.5907072424888611
LSTM,1-day,0.06976744186046512,0.07692307692307693,0.5859293937683105
LSTM,1-day,0.09302325581395349,0.07692307692307693,0.585053563117981
LSTM,1-day,0.09302325581395349,0.1076923076923077,0.5834189653396606
LSTM,1-day,0.13953488372093023,0.1076923076923077,0.5823146104812622
