Model,Horizon,Accuracy,ROC_AUC,Precision,Recall,F1,Baseline_Accuracy
Logistic Regression,1-day,0.5131578947368421,0.5305059523809523,0.3902439024390244,0.5714285714285714,0.463768115942029,0.631578947368421
SVM,1-day,0.4868421052631579,0.4166666666666667,0.34285714285714286,0.42857142857142855,0.38095238095238093,0.631578947368421
Random Forest,1-day,0.5131578947368421,0.5963541666666667,0.40425531914893614,0.6785714285714286,0.5066666666666667,0.631578947368421
LSTM,1-day,0.5,0.5431547619047619,0.3684210526315789,0.5,0.42424242424242425,0.631578947368421
Logistic Regression,7-day,0.4,0.5776000000000001,0.3333333333333333,0.8,0.47058823529411764,0.3333333333333333
SVM,7-day,0.30666666666666664,0.4104,0.2711864406779661,0.64,0.38095238095238093,0.3333333333333333
Random Forest,7-day,0.37333333333333335,0.4556,0.3333333333333333,0.88,0.4835164835164835,0.3333333333333333
LSTM,7-day,0.49333333333333335,0.6352,0.3968253968253968,1.0,0.5681818181818182,0.3333333333333333
Logistic Regression,30-day,0.7222222222222222,0.7166666666666667,0.6923076923076923,0.6,0.6428571428571429,0.5833333333333334
SVM,30-day,0.6666666666666666,0.7071428571428571,0.5882352941176471,0.6666666666666666,0.625,0.5833333333333334
Random Forest,30-day,0.5972222222222222,0.5952380952380952,0.5217391304347826,0.4,0.4528301886792453,0.5833333333333334
LSTM,30-day,0.3888888888888889,0.5492063492063493,0.23076923076923078,0.2,0.21428571428571427,0.5833333333333334
