Model,Horizon,False_Positive_Rate,True_Positive_Rate,Threshold
Logistic Regression,1-day,0.0,0.0,inf
Logistic Regression,1-day,0.0,0.03571428571428571,0.7773916466289001
Logistic Regression,1-day,0.0625,0.03571428571428571,0.7214582094719594
Logistic Regression,1-day,0.0625,0.07142857142857142,0.6975057774626992
Logistic Regression,1-day,0.10416666666666667,0.07142857142857142,0.6742624561910179
Logistic Regression,1-day,0.10416666666666667,0.10714285714285714,0.6652352088139293
Logistic Regression,1-day,0.16666666666666666,0.10714285714285714,0.635076761685276
Logistic Regression,1-day,0.16666666666666666,0.21428571428571427,0.6070907442837674
Logistic Regression,1-day,0.1875,0.21428571428571427,0.6013127325028296
Logistic Regression,1-day,0.1875,0.2857142857142857,0.5983731701006088
Logistic Regression,1-day,0.2708333333333333,0.2857142857142857,0.5764045179833347
Logistic Regression,1-day,0.2708333333333333,0.32142857142857145,0.5731719795592541
Logistic Regression,1-day,0.3333333333333333,0.32142857142857145,0.5629006905056582
Logistic Regression,1-day,0.3333333333333333,0.35714285714285715,0.555900380936647
Logistic Regression,1-day,0.3541666666666667,0.35714285714285715,0.5511971719597183
Logistic Regression,1-day,0.3541666666666667,0.42857142857142855,0.5381652017987704
Logistic Regression,1-day,0.4375,0.42857142857142855,0.5213164024821211
Logistic Regression,1-day,0.4375,0.5357142857142857,0.5134471673790911
Logistic Regression,1-day,0.5,0.5357142857142857,0.5102239554865686
Logistic Regression,1-day,0.5,0.5714285714285714,0.5086714694674415
Logistic Regression,1-day,0.5416666666666666,0.5714285714285714,0.4941881317450711
Logistic Regression,1-day,0.5416666666666666,0.6071428571428571,0.490646778347579
Logistic Regression,1-day,0.5625,0.6071428571428571,0.4897659029723796
Logistic Regression,1-day,0.5625,0.6785714285714286,0.48188505566568623
Logistic Regression,1-day,0.7291666666666666,0.6785714285714286,0.4556256472062333
Logistic Regression,1-day,0.7291666666666666,0.7142857142857143,0.45298671789759404
Logistic Regression,1-day,0.75,0.7142857142857143,0.44846268511041726
Logistic Regression,1-day,0.75,0.7857142857142857,0.44020508975646955
Logistic Regression,1-day,0.7916666666666666,0.7857142857142857,0.4298728404726915
Logistic Regression,1-day,0.7916666666666666,0.8571428571428571,0.41155079980802134
Logistic Regression,1-day,0.8125,0.8571428571428571,0.40239447200771944
Logistic Regression,1-day,0.8125,0.8928571428571429,0.4018247703557867
Logistic Regression,1-day,0.8333333333333334,0.8928571428571429,0.4014240839888806
Logistic Regression,1-day,0.8333333333333334,0.9285714285714286,0.3996023719344629
Logistic Regression,1-day,0.9166666666666666,0.9285714285714286,0.38682287252898323
Logistic Regression,1-day,0.9166666666666666,0.9642857142857143,0.38483375958266325
Logistic Regression,1-day,0.9375,0.9642857142857143,0.38166443539239386
Logistic Regression,1-day,0.9375,1.0,0.38020446113923134
Logistic Regression,1-day,1.0,1.0,0.31553039843432096
SVM,1-day,0.0,0.0,inf
SVM,1-day,0.020833333333333332,0.0,0.5179950421514302
SVM,1-day,0.16666666666666666,0.0,0.5117672138735193
SVM,1-day,0.16666666666666666,0.03571428571428571,0.5102111993821277
SVM,1-day,0.1875,0.03571428571428571,0.5094845857144896
SVM,1-day,0.1875,0.07142857142857142,0.5090173219071794
SVM,1-day,0.22916666666666666,0.07142857142857142,0.5069029264697987
SVM,1-day,0.22916666666666666,0.14285714285714285,0.5061812889089536
SVM,1-day,0.4791666666666667,0.42857142857142855,0.5
SVM,1-day,0.5416666666666666,0.42857142857142855,0.4942386523296132
SVM,1-day,0.5416666666666666,0.4642857142857143,0.4939075919071782
SVM,1-day,0.5625,0.4642857142857143,0.49351695343756136
SVM,1-day,0.5625,0.5,0.4932428637209323
SVM,1-day,0.6041666666666666,0.5,0.4924296864324996
SVM,1-day,0.6041666666666666,0.5357142857142857,0.49176729904953986
SVM,1-day,0.7291666666666666,0.5357142857142857,0.4853049476430759
SVM,1-day,0.7291666666666666,0.6071428571428571,0.4845921306273558
SVM,1-day,0.75,0.6071428571428571,0.48353976424838113
SVM,1-day,0.75,0.6428571428571429,0.48347692778584767
SVM,1-day,0.7916666666666666,0.6428571428571429,0.4807031823595045
SVM,1-day,0.7916666666666666,0.75,0.4796903387607408
SVM,1-day,0.8333333333333334,0.75,0.4766213178819196
SVM,1-day,0.8333333333333334,0.8571428571428571,0.47386062927293393
