Horizon,Feature,Importance
1-day,SMA_10_pct,0.1232801937188458
1-day,STOCH_K_14,0.11999434389095723
1-day,MACD_signal_9_pct,0.12285154888529681
1-day,RSI_14,0.12223871485087195
1-day,CCI_20,0.12126214165718956
1-day,turnover,0.12438183171278293
1-day,volatility,0.11897335315796771
1-day,daily_compound_sentiment,0.04574169309586663
1-day,sue,0.10127617903022136
7-day,SMA_10_pct,0.10685601627182467
7-day,STOCH_K_14,0.10417246826713134
7-day,MACD_signal_9_pct,0.1362547755491835
7-day,RSI_14,0.11242796380462415
7-day,CCI_20,0.107030668565524
7-day,turnover,0.1107328411730766
7-day,volatility,0.1383996814909185
7-day,daily_compound_sentiment,0.040500684819595685
7-day,sue,0.14362490005812162
30-day,SMA_10_pct,0.08955952675771346
30-day,STOCH_K_14,0.08862362721899335
30-day,MACD_signal_9_pct,0.14531944333990618
30-day,RSI_14,0.09980938477115868
30-day,CCI_20,0.08957699032850734
30-day,turnover,0.10790526323525516
30-day,volatility,0.14876619808517277
30-day,daily_compound_sentiment,0.038171966475938776
30-day,sue,0.19226759978735425
