Model,Horizon,Group,Tickers,N_Tickers,Total_Observations,Accuracy,ROC_AUC,Precision,Recall,F1
LSTM,1-day,Large Cap,"LLOY, RR, SBRY",3,883,0.5392419135791352,0.5072999638448085,0.5609359164520079,0.7875896539358078,0.6541505316711588
LSTM,1-day,Small Cap,"ASC, CPI, CRST",3,918,0.4477297758307562,0.4508542161381133,0.43235043470869394,0.4416461916461916,0.431176044906022
Logistic Regression,1-day,Large Cap,"LLOY, RR, SBRY",3,883,0.4824375315715012,0.473198361381336,0.5581380454051581,0.3626344809037117,0.4358939520624303
Logistic Regression,1-day,Small Cap,"ASC, CPI, CRST",3,918,0.5294084141906884,0.5492612780407241,0.5634456511649494,0.1953901953901954,0.2822177822177822
Random Forest,1-day,Large Cap,"LLOY, RR, SBRY",3,883,0.5187946128207704,0.5032639749990071,0.5767134951042997,0.5326934283665054,0.5531906476243226
Random Forest,1-day,Small Cap,"ASC, CPI, CRST",3,918,0.48801734775776656,0.4817309147609336,0.4728293077130286,0.4021294021294022,0.4325497650893257
SVM,1-day,Large Cap,"LLOY, RR, SBRY",3,883,0.4575490754352543,0.47961361822808185,0.5265490984719573,0.23989376008606778,0.32763210722999475
SVM,1-day,Small Cap,"ASC, CPI, CRST",3,918,0.5108790646664557,0.48587309802456996,0.5148148148148148,0.08201708201708202,0.13883693628046312
LSTM,7-day,Large Cap,"LLOY, RR, SBRY",3,880,0.5499363762786582,0.4948210501373797,0.598307626251673,0.8215658418998029,0.6908286869071182
LSTM,7-day,Small Cap,"ASC, CPI, CRST",3,914,0.4585483316133471,0.41608669854249564,0.4889370547042553,0.6441338999818532,0.5556240685644455
Logistic Regression,7-day,Large Cap,"LLOY, RR, SBRY",3,880,0.5108967910981334,0.5003326543410531,0.6088299073901393,0.5791015683111118,0.5903463581065448
Logistic Regression,7-day,Small Cap,"ASC, CPI, CRST",3,914,0.5042497993349386,0.516542701124902,0.5373798585333524,0.46084242136873715,0.4949624366344623
Random Forest,7-day,Large Cap,"LLOY, RR, SBRY",3,880,0.5210350973773793,0.5195703586305593,0.6320544508107704,0.5504823444389481,0.5879076776909594
Random Forest,7-day,Small Cap,"ASC, CPI, CRST",3,914,0.5055397890150212,0.504424438023057,0.5370053867281763,0.46131657973763235,0.4946716354483345
SVM,7-day,Large Cap,"LLOY, RR, SBRY",3,880,0.5592617069127136,0.49325662867077574,0.6216972494862961,0.7328241417750353,0.6718715836671766
SVM,7-day,Small Cap,"ASC, CPI, CRST",3,914,0.466130604288499,0.481854300916432,0.4897758972274621,0.38336728541406906,0.42915017783188075
LSTM,30-day,Large Cap,"LLOY, RR, SBRY",3,869,0.678068323518155,0.42618944923275953,0.6907586573180448,0.9720853858784894,0.8053285530248447
LSTM,30-day,Small Cap,"ASC, CPI, CRST",3,899,0.4371943515421776,0.3517298976056497,0.4647798742138365,0.822416216626484,0.5925039059779363
Logistic Regression,30-day,Large Cap,"LLOY, RR, SBRY",3,869,0.466665432053039,0.46802350509013707,0.6815228892803004,0.46486582757323375,0.541806159939818
Logistic Regression,30-day,Small Cap,"ASC, CPI, CRST",3,899,0.5217242660720921,0.5161074290029134,0.5362573099415204,0.3607799267960003,0.4293282969753558
Random Forest,30-day,Large Cap,"LLOY, RR, SBRY",3,869,0.540046339164825,0.54533409464501,0.733206974437823,0.5367447911453315,0.6176294219758658
Random Forest,30-day,Small Cap,"ASC, CPI, CRST",3,899,0.4827722036417688,0.4520053880654618,0.4677868427868428,0.36606926323180217,0.4081607000498222
SVM,30-day,Large Cap,"LLOY, RR, SBRY",3,869,0.5319600314414937,0.445786122633534,0.6733277048503523,0.643494961796144,0.6551046963435648
SVM,30-day,Small Cap,"ASC, CPI, CRST",3,899,0.4661278335191379,0.3907751618786343,0.4550893193323014,0.3663775675420747,0.4010333675132282
