Model,Horizon,Ticker,Observations,Accuracy,ROC_AUC,Precision,Recall,F1,Up_Proportion_Actual
LSTM,1-day,ASC,306,0.4673202614379085,0.4642062949024975,0.4619289340101523,0.6148648648648649,0.527536231884058,0.48366013071895425
LSTM,1-day,CPI,307,0.42996742671009774,0.4452508276037688,0.4117647058823529,0.3181818181818182,0.358974358974359,0.501628664495114
LSTM,1-day,CRST,305,0.4459016393442623,0.4431055259080737,0.4233576642335766,0.3918918918918919,0.4070175438596491,0.4852459016393443
LSTM,1-day,LLOY,299,0.5551839464882943,0.50737369139736,0.5703125,0.863905325443787,0.6870588235294117,0.5652173913043478
LSTM,1-day,RR,297,0.5050505050505051,0.49306569343065687,0.5326633165829145,0.6625,0.5905292479108635,0.5387205387205387
LSTM,1-day,SBRY,287,0.5574912891986062,0.5214605067064084,0.5798319327731093,0.8363636363636363,0.684863523573201,0.5749128919860628
Logistic Regression,1-day,ASC,306,0.5294117647058824,0.5342541908997605,0.5714285714285714,0.10810810810810811,0.18181818181818182,0.48366013071895425
Logistic Regression,1-day,CPI,307,0.5309446254071661,0.5798319327731092,0.5925925925925926,0.2077922077922078,0.3076923076923077,0.501628664495114
Logistic Regression,1-day,CRST,305,0.5278688524590164,0.5336977104493028,0.5263157894736842,0.2702702702702703,0.35714285714285715,0.4852459016393443
Logistic Regression,1-day,LLOY,299,0.4782608695652174,0.464815657715066,0.5747126436781609,0.2958579881656805,0.390625,0.5652173913043478
Logistic Regression,1-day,RR,297,0.4882154882154882,0.47390510948905107,0.54,0.3375,0.4153846153846154,0.5387205387205387
Logistic Regression,1-day,SBRY,287,0.4808362369337979,0.4808743169398908,0.5597014925373134,0.45454545454545453,0.5016722408026756,0.5749128919860628
Random Forest,1-day,ASC,306,0.4869281045751634,0.4737641122134793,0.45714285714285713,0.32432432432432434,0.3794466403162055,0.48366013071895425
Random Forest,1-day,CPI,307,0.48859934853420195,0.4981113657584246,0.4883720930232558,0.4090909090909091,0.4452296819787986,0.501628664495114
Random Forest,1-day,CRST,305,0.4885245901639344,0.47331726631089693,0.47297297297297297,0.47297297297297297,0.47297297297297297,0.4852459016393443
Random Forest,1-day,LLOY,299,0.5250836120401338,0.4810650887573964,0.593103448275862,0.5088757396449705,0.5477707006369427,0.5652173913043478
Random Forest,1-day,RR,297,0.5016835016835017,0.49035127737226275,0.5370370370370371,0.54375,0.5403726708074534,0.5387205387205387
Random Forest,1-day,SBRY,287,0.5296167247386759,0.5383755588673622,0.6,0.5454545454545454,0.5714285714285714,0.5749128919860628
SVM,1-day,ASC,306,0.5163398692810458,0.45809100239479994,0.5,0.04054054054054054,0.075,0.48366013071895425
SVM,1-day,CPI,307,0.5146579804560261,0.52595280536457,0.6,0.09740259740259741,0.16759776536312848,0.501628664495114
SVM,1-day,CRST,305,0.5016393442622951,0.4735754863143398,0.4444444444444444,0.10810810810810811,0.17391304347826086,0.4852459016393443
SVM,1-day,LLOY,299,0.46153846153846156,0.4989303595812472,0.5487804878048781,0.26627218934911245,0.35856573705179284,0.5652173913043478
SVM,1-day,RR,297,0.4511784511784512,0.4494981751824817,0.4727272727272727,0.1625,0.24186046511627907,0.5387205387205387
SVM,1-day,SBRY,287,0.45993031358885017,0.4904123199205166,0.5581395348837209,0.2909090909090909,0.38247011952191234,0.5749128919860628
LSTM,7-day,ASC,304,0.4901315789473684,0.428055990262563,0.5165876777251185,0.6728395061728395,0.5844504021447721,0.5328947368421053
LSTM,7-day,CPI,306,0.4019607843137255,0.29079488845570717,0.4719626168224299,0.5906432748538012,0.5246753246753246,0.5588235294117647
LSTM,7-day,CRST,304,0.48355263157894735,0.5294092169092168,0.4782608695652174,0.668918918918919,0.5577464788732395,0.4868421052631579
LSTM,7-day,LLOY,298,0.5100671140939598,0.4644661661236247,0.5670498084291188,0.8176795580110497,0.669683257918552,0.6073825503355704
LSTM,7-day,RR,296,0.5033783783783784,0.42546871195519853,0.5863636363636363,0.6972972972972973,0.6370370370370371,0.625
LSTM,7-day,SBRY,286,0.6363636363636364,0.594528272333316,0.6415094339622641,0.9497206703910615,0.7657657657657657,0.6258741258741258
Logistic Regression,7-day,ASC,304,0.4506578947368421,0.4400539036689271,0.48322147651006714,0.4444444444444444,0.4630225080385852,0.5328947368421053
Logistic Regression,7-day,CPI,306,0.5620915032679739,0.616374269005848,0.6434108527131783,0.4853801169590643,0.5533333333333333,0.5588235294117647
Logistic Regression,7-day,CRST,304,0.5,0.49319993069993073,0.4855072463768116,0.4527027027027027,0.46853146853146854,0.4868421052631579
Logistic Regression,7-day,LLOY,298,0.47651006711409394,0.4749964584218727,0.5766871165644172,0.5193370165745856,0.5465116279069767,0.6073825503355704
Logistic Regression,7-day,RR,296,0.49324324324324326,0.5122960798636476,0.6174496644295302,0.4972972972972973,0.5508982035928144,0.625
Logistic Regression,7-day,SBRY,286,0.5629370629370629,0.513705424737639,0.6323529411764706,0.7206703910614525,0.6736292428198434,0.6258741258741258
Random Forest,7-day,ASC,304,0.5263157894736842,0.5371022430881586,0.5714285714285714,0.4444444444444444,0.5,0.5328947368421053
Random Forest,7-day,CPI,306,0.4738562091503268,0.4458956032055448,0.5362318840579711,0.4327485380116959,0.47896440129449835,0.5588235294117647
Random Forest,7-day,CRST,304,0.5164473684210527,0.5302754677754677,0.5033557046979866,0.5067567567567568,0.5050505050505051,0.4868421052631579
Random Forest,7-day,LLOY,298,0.5100671140939598,0.4911460546819662,0.6086956521739131,0.5414364640883977,0.5730994152046783,0.6073825503355704
Random Forest,7-day,RR,296,0.4831081081081081,0.44567811054297546,0.5930232558139535,0.5513513513513514,0.5714285714285714,0.625
Random Forest,7-day,SBRY,286,0.5699300699300699,0.6218869106667363,0.6944444444444444,0.5586592178770949,0.6191950464396285,0.6258741258741258
SVM,7-day,ASC,304,0.4144736842105263,0.4130151278038602,0.4344262295081967,0.3271604938271605,0.3732394366197183,0.5328947368421053
SVM,7-day,CPI,306,0.4444444444444444,0.4876759800736409,0.5041322314049587,0.3567251461988304,0.4178082191780822,0.5588235294117647
SVM,7-day,CRST,304,0.5394736842105263,0.5448717948717949,0.5307692307692308,0.46621621621621623,0.49640287769784175,0.4868421052631579
SVM,7-day,LLOY,298,0.6073825503355704,0.5132691127166265,0.6367521367521367,0.8232044198895028,0.7180722891566265,0.6073825503355704
SVM,7-day,RR,296,0.4864864864864865,0.4110786462137814,0.5812807881773399,0.6378378378378379,0.6082474226804123,0.625
SVM,7-day,SBRY,286,0.583916083916084,0.5554221270819193,0.6470588235294118,0.7374301675977654,0.6892950391644909,0.6258741258741258
LSTM,30-day,ASC,300,0.4,0.31857187319372193,0.4377358490566038,0.7891156462585034,0.5631067961165048,0.49
LSTM,30-day,CPI,300,0.43666666666666665,0.2544830389809838,0.5,0.7751479289940828,0.6078886310904872,0.5633333333333334
LSTM,30-day,CRST,299,0.47491638795986624,0.48213478064224335,0.45660377358490567,0.9029850746268657,0.606516290726817,0.44816053511705684
LSTM,30-day,LLOY,294,0.7789115646258503,0.35283842794759823,0.7789115646258503,1.0,0.875717017208413,0.7789115646258503
LSTM,30-day,RR,290,0.6482758620689655,0.5177509767283847,0.6863468634686347,0.916256157635468,0.7848101265822784,0.7
LSTM,30-day,SBRY,285,0.6070175438596491,0.4079789430222956,0.6070175438596491,1.0,0.7554585152838428,0.6070175438596491
Logistic Regression,30-day,ASC,300,0.4866666666666667,0.4925081143568538,0.4666666666666667,0.3333333333333333,0.3888888888888889,0.49
Logistic Regression,30-day,CPI,300,0.5266666666666666,0.5154704367857627,0.6421052631578947,0.3609467455621302,0.4621212121212121,0.5633333333333334
Logistic Regression,30-day,CRST,299,0.5518394648829431,0.5403437358661238,0.5,0.3880597014925373,0.4369747899159664,0.44816053511705684
Logistic Regression,30-day,LLOY,294,0.40816326530612246,0.3950957339603628,0.7235772357723578,0.388646288209607,0.5056818181818182,0.7789115646258503
Logistic Regression,30-day,RR,290,0.46551724137931033,0.5206386954306099,0.7105263157894737,0.39901477832512317,0.5110410094637224,0.7
Logistic Regression,30-day,SBRY,285,0.5263157894736842,0.4883360858794385,0.6104651162790697,0.6069364161849711,0.6086956521739131,0.6070175438596491
Random Forest,30-day,ASC,300,0.4633333333333333,0.4202569916855631,0.42045454545454547,0.25170068027210885,0.3148936170212766,0.49
Random Forest,30-day,CPI,300,0.49,0.47809295812819014,0.5555555555555556,0.47337278106508873,0.5111821086261981,0.5633333333333334
Random Forest,30-day,CRST,299,0.49498327759197325,0.4576662143826323,0.42735042735042733,0.373134328358209,0.398406374501992,0.44816053511705684
Random Forest,30-day,LLOY,294,0.5136054421768708,0.5083977158212966,0.8028169014084507,0.4978165938864629,0.6145552560646901,0.7789115646258503
Random Forest,30-day,RR,290,0.5275862068965518,0.48598607100390695,0.7088607594936709,0.5517241379310345,0.6204986149584487,0.7
