Model,Horizon,Accuracy,ROC_AUC,Precision,Recall,F1,Baseline_Accuracy
Logistic Regression,1-day,0.5063853414769572,0.5291023080117873,0.55741127348643,0.2828389830508475,0.3752635277582572,0.47584675180455305
SVM,1-day,0.4847307051637979,0.4988294306113166,0.527027027027027,0.1652542372881356,0.25161290322580643,0.47584675180455305
Random Forest,1-day,0.5030538589672404,0.4978207879279315,0.5292014302741359,0.4703389830508475,0.49803701626472235,0.47584675180455305
LSTM,1-day,0.49250416435313715,0.4885520291517512,0.5130890052356021,0.6228813559322034,0.5626794258373206,0.47584675180455305
Logistic Regression,7-day,0.5072463768115942,0.5181949013157895,0.5761802575107297,0.5233918128654971,0.5485188968335035,0.4280936454849498
SVM,7-day,0.5117056856187291,0.5048542580409356,0.5739644970414202,0.5672514619883041,0.5705882352941176,0.4280936454849498
Random Forest,7-day,0.5128205128205128,0.5141446099333983,0.5853932584269663,0.5077972709551657,0.5438413361169102,0.4280936454849498
LSTM,7-day,0.5027870680044593,0.4608930819525666,0.548621190130624,0.7368421052631579,0.6289517470881864,0.4280936454849498
Logistic Regression,30-day,0.49434389140271495,0.5143569325259401,0.6129032258064516,0.414218009478673,0.49434389140271495,0.40328054298642535
SVM,30-day,0.4983031674208145,0.4674853599037509,0.5897435897435898,0.5232227488151658,0.5544952285283777,0.40328054298642535
Random Forest,30-day,0.5107466063348416,0.5153912112893255,0.620253164556962,0.46445497630331756,0.5311653116531165,0.40328054298642535
LSTM,30-day,0.5559954751131222,0.4643227002918049,0.582216808769793,0.9061611374407583,0.7089358546533185,0.40328054298642535
