Horizon,Feature,Importance
1-day,SMA_10_pct,0.14412150391087541
1-day,STOCH_K_14,0.14063570924268903
1-day,MACD_signal_9_pct,0.14343566405596922
1-day,RSI_14,0.14438718458924388
1-day,CCI_20,0.14306527083988016
1-day,turnover,0.1440104194434939
1-day,volatility,0.14034424791784847
7-day,SMA_10_pct,0.13391793503815183
7-day,STOCH_K_14,0.13211699847317784
7-day,MACD_signal_9_pct,0.1581653858793917
7-day,RSI_14,0.14057986534552816
7-day,CCI_20,0.1352615294013241
7-day,turnover,0.1382920087899455
7-day,volatility,0.16166627707248094
30-day,SMA_10_pct,0.1270603520797616
30-day,STOCH_K_14,0.12597001890235557
30-day,MACD_signal_9_pct,0.16749645904377716
30-day,RSI_14,0.13505461798700444
30-day,CCI_20,0.12571395069682192
30-day,turnover,0.1418878524812156
30-day,volatility,0.17681674880906384
