Model,Horizon,Group,Tickers,N_Tickers,Total_Observations,Accuracy,ROC_AUC,Precision,Recall,F1
LSTM,1-day,Large Cap,"LLOY, RR, SBRY",3,883,0.5233096113265785,0.5006051630661098,0.5594073324336483,0.6471183730799115,0.5937677073749347
LSTM,1-day,Small Cap,"ASC, CPI, CRST",3,918,0.4749382161508095,0.46170098259014125,0.45920190263255956,0.4042061542061542,0.42851282799736407
Logistic Regression,1-day,Large Cap,"LLOY, RR, SBRY",3,883,0.48134679559211196,0.4739323192266787,0.554602084922451,0.37063497400035866,0.44152677083995395
Logistic Regression,1-day,Small Cap,"ASC, CPI, CRST",3,918,0.5348515355306431,0.5435187525792977,0.581060606060606,0.19296244296244294,0.28089833463150476
Random Forest,1-day,Large Cap,"LLOY, RR, SBRY",3,883,0.491315473994866,0.49002855925220157,0.5514583020142694,0.487839564281872,0.5176533178904666
Random Forest,1-day,Small Cap,"ASC, CPI, CRST",3,918,0.5098502005597455,0.5055121774214878,0.5008636067082254,0.4288931788931789,0.4619582486195825
SVM,1-day,Large Cap,"LLOY, RR, SBRY",3,883,0.4403830593296836,0.4684091492653107,0.0,0.0,0.0
SVM,1-day,Small Cap,"ASC, CPI, CRST",3,918,0.5098217677155292,0.47931812388763034,0.0,0.0,0.0
LSTM,7-day,Large Cap,"LLOY, RR, SBRY",3,880,0.6070315046825113,0.511787324350992,0.6148546989014653,0.9783783783783783,0.7549832799277206
LSTM,7-day,Small Cap,"ASC, CPI, CRST",3,914,0.48341646600160537,0.46955928423613685,0.5048752786378438,0.8321713526391888,0.6281420482545972
Logistic Regression,7-day,Large Cap,"LLOY, RR, SBRY",3,880,0.5162943426366245,0.4531197279628008,0.6031917694485055,0.6360186292036041,0.6160546287552897
Logistic Regression,7-day,Small Cap,"ASC, CPI, CRST",3,914,0.4976708519665176,0.5122888352746546,0.5164701830194293,0.4249073635038547,0.4611871748420661
Random Forest,7-day,Large Cap,"LLOY, RR, SBRY",3,880,0.5109377517095638,0.5136247569653428,0.6183088518457391,0.5439394887340812,0.5779998392456
Random Forest,7-day,Small Cap,"ASC, CPI, CRST",3,914,0.47493836715972937,0.47483136975473544,0.502859477124183,0.4259917812549392,0.45971479693997125
SVM,7-day,Large Cap,"LLOY, RR, SBRY",3,880,0.5405125287675623,0.4897214045349069,0.6232942127234478,0.6451417558488765,0.6327647979450614
SVM,7-day,Small Cap,"ASC, CPI, CRST",3,914,0.4716130604288498,0.46637752259629234,0.4945667841351294,0.3758305088714445,0.4233684268046119
LSTM,30-day,Large Cap,"LLOY, RR, SBRY",3,869,0.6746200476560861,0.4308424524384426,0.6886920557696764,0.9704433497536945,0.8033743003044361
LSTM,30-day,Small Cap,"ASC, CPI, CRST",3,899,0.42942028985507247,0.38689987083618976,0.45848424600177756,0.8182215156956832,0.5860828878063682
Logistic Regression,30-day,Large Cap,"LLOY, RR, SBRY",3,869,0.4553588404508809,0.4615414313982061,0.6704929163589767,0.44898437017198295,0.5283995866119864
Logistic Regression,30-day,Small Cap,"ASC, CPI, CRST",3,899,0.517257525083612,0.515107325778222,0.5271464646464646,0.3224511624544428,0.39378542825939983
Random Forest,30-day,Large Cap,"LLOY, RR, SBRY",3,869,0.5029400265853469,0.5113793592872268,0.6908585588605702,0.5223915957526485,0.5925415070242656
Random Forest,30-day,Small Cap,"ASC, CPI, CRST",3,899,0.45384615384615384,0.41949512890765445,0.44903412431589657,0.4324080599297919,0.4395963619100602
SVM,30-day,Large Cap,"LLOY, RR, SBRY",3,869,0.5296233193821994,0.4761432146649422,0.6787738558230362,0.6191810394046807,0.645199046096478
SVM,30-day,Small Cap,"ASC, CPI, CRST",3,899,0.4805871423262727,0.4175905913183322,0.477878049316031,0.3856237069292671,0.42434287215530214
