Model,Horizon,Ticker,Observations,Accuracy,ROC_AUC,Precision,Recall,F1,Up_Proportion_Actual
LSTM,1-day,ASC,306,0.4803921568627451,0.470321587410195,0.45045045045045046,0.33783783783783783,0.3861003861003861,0.48366013071895425
LSTM,1-day,CPI,307,0.4755700325732899,0.45441813088871913,0.4744525547445255,0.42207792207792205,0.44673539518900346,0.501628664495114
LSTM,1-day,CRST,305,0.46885245901639344,0.46036322947150976,0.4527027027027027,0.4527027027027027,0.4527027027027027,0.4852459016393443
LSTM,1-day,LLOY,299,0.5484949832775919,0.512107419208011,0.5817307692307693,0.7159763313609467,0.6419098143236074,0.5652173913043478
LSTM,1-day,RR,297,0.48484848484848486,0.4883667883211679,0.5263157894736842,0.4375,0.4778156996587031,0.5387205387205387
LSTM,1-day,SBRY,287,0.5365853658536586,0.5013412816691506,0.5701754385964912,0.7878787878787878,0.6615776081424937,0.5749128919860628
Logistic Regression,1-day,ASC,306,0.5294117647058824,0.5213393773520356,0.5833333333333334,0.0945945945945946,0.16279069767441862,0.48366013071895425
Logistic Regression,1-day,CPI,307,0.5407166123778502,0.5774127832951363,0.6181818181818182,0.22077922077922077,0.3253588516746411,0.501628664495114
Logistic Regression,1-day,CRST,305,0.5344262295081967,0.5318040970907213,0.5416666666666666,0.2635135135135135,0.35454545454545455,0.4852459016393443
Logistic Regression,1-day,LLOY,299,0.4816053511705686,0.47205279927173416,0.5760869565217391,0.3136094674556213,0.4061302681992337,0.5652173913043478
Logistic Regression,1-day,RR,297,0.4781144781144781,0.4618156934306569,0.5238095238095238,0.34375,0.41509433962264153,0.5387205387205387
Logistic Regression,1-day,SBRY,287,0.4843205574912892,0.4879284649776453,0.5639097744360902,0.45454545454545453,0.5033557046979866,0.5749128919860628
Random Forest,1-day,ASC,306,0.5294117647058824,0.5208262059527882,0.5163934426229508,0.42567567567567566,0.4666666666666667,0.48366013071895425
Random Forest,1-day,CPI,307,0.4788273615635179,0.4990026313555725,0.4782608695652174,0.42857142857142855,0.4520547945205479,0.501628664495114
Random Forest,1-day,CRST,305,0.521311475409836,0.4967076949561026,0.5079365079365079,0.43243243243243246,0.46715328467153283,0.4852459016393443
Random Forest,1-day,LLOY,299,0.4882943143812709,0.4913290851160674,0.5526315789473685,0.4970414201183432,0.5233644859813084,0.5652173913043478
Random Forest,1-day,RR,297,0.5117845117845118,0.49532390510948904,0.5524475524475524,0.49375,0.5214521452145214,0.5387205387205387
Random Forest,1-day,SBRY,287,0.4738675958188153,0.4834326875310482,0.5492957746478874,0.4727272727272727,0.50814332247557,0.5749128919860628
SVM,1-day,ASC,306,0.5163398692810458,0.4719893944577489,0.0,0.0,0.0,0.48366013071895425
SVM,1-day,CPI,307,0.498371335504886,0.4964349376114082,0.0,0.0,0.0,0.501628664495114
SVM,1-day,CRST,305,0.5147540983606558,0.4695300395937339,0.0,0.0,0.0,0.4852459016393443
SVM,1-day,LLOY,299,0.43478260869565216,0.49836140191169787,0.0,0.0,0.0,0.5652173913043478
SVM,1-day,RR,297,0.4612794612794613,0.45127737226277365,0.0,0.0,0.0,0.5387205387205387
SVM,1-day,SBRY,287,0.4250871080139373,0.45558867362146055,0.0,0.0,0.0,0.5749128919860628
LSTM,7-day,ASC,304,0.4309210526315789,0.44270561641453665,0.4789272030651341,0.7716049382716049,0.5910165484633569,0.5328947368421053
LSTM,7-day,CPI,306,0.5620915032679739,0.45566385098548845,0.5682656826568265,0.9005847953216374,0.6968325791855203,0.5588235294117647
LSTM,7-day,CRST,304,0.45723684210526316,0.5103083853083853,0.4674329501915709,0.8243243243243243,0.5965770171149144,0.4868421052631579
LSTM,7-day,LLOY,298,0.6073825503355704,0.4883600132218916,0.6073825503355704,1.0,0.755741127348643,0.6073825503355704
LSTM,7-day,RR,296,0.5878378378378378,0.5157535914292671,0.6113074204946997,0.9351351351351351,0.7393162393162394,0.625
LSTM,7-day,SBRY,286,0.6258741258741258,0.531248368401817,0.6258741258741258,1.0,0.7698924731182796,0.6258741258741258
Logistic Regression,7-day,ASC,304,0.4144736842105263,0.408754999130586,0.4148936170212766,0.24074074074074073,0.3046875,0.5328947368421053
Logistic Regression,7-day,CPI,306,0.5620915032679739,0.6128221789040502,0.6312056737588653,0.52046783625731,0.5705128205128205,0.5588235294117647
Logistic Regression,7-day,CRST,304,0.5164473684210527,0.5152893277893278,0.5033112582781457,0.5135135135135135,0.5083612040133779,0.4868421052631579
Logistic Regression,7-day,LLOY,298,0.5100671140939598,0.4409973084006233,0.5977653631284916,0.5911602209944752,0.5944444444444444,0.6073825503355704
Logistic Regression,7-day,RR,296,0.48986486486486486,0.4729486242999757,0.6011904761904762,0.5459459459459459,0.5722379603399433,0.625
Logistic Regression,7-day,SBRY,286,0.548951048951049,0.4454132511878035,0.6106194690265486,0.770949720670391,0.6814814814814815,0.6258741258741258
Random Forest,7-day,ASC,304,0.4901315789473684,0.5058902799513127,0.5294117647058824,0.3888888888888889,0.4483985765124555,0.5328947368421053
Random Forest,7-day,CPI,306,0.42810457516339867,0.4084037253627897,0.4861111111111111,0.4093567251461988,0.4444444444444444,0.5588235294117647
Random Forest,7-day,CRST,304,0.506578947368421,0.510200103950104,0.4930555555555556,0.4797297297297297,0.4863013698630137,0.4868421052631579
Random Forest,7-day,LLOY,298,0.49328859060402686,0.48297681446852725,0.5903614457831325,0.5414364640883977,0.5648414985590778,0.6073825503355704
Random Forest,7-day,RR,296,0.46959459459459457,0.47871925980034086,0.5958904109589042,0.4702702702702703,0.525679758308157,0.625
Random Forest,7-day,SBRY,286,0.5699300699300699,0.5791781966271602,0.6686746987951807,0.6201117318435754,0.6434782608695652,0.6258741258741258
SVM,7-day,ASC,304,0.4506578947368421,0.4330333854981742,0.4725274725274725,0.2654320987654321,0.33992094861660077,0.5328947368421053
