Model,Horizon,Accuracy,ROC_AUC,Precision,Recall,F1,Baseline_Accuracy
Logistic Regression,1-day,0.5086063298167685,0.5269935525977494,0.5613305613305614,0.2860169491525424,0.37894736842105264,0.47584675180455305
SVM,1-day,0.47584675180455305,0.49177758439965985,0.0,0.0,0.0,0.47584675180455305
Random Forest,1-day,0.5008328706274292,0.5040030506496845,0.5273390036452005,0.4597457627118644,0.49122807017543857,0.47584675180455305
LSTM,1-day,0.498611882287618,0.4925587880465953,0.5212435233160622,0.5328389830508474,0.5269774751178627,0.47584675180455305
Logistic Regression,7-day,0.5066889632107023,0.5024861415692008,0.5735140771637122,0.5360623781676414,0.5541561712846348,0.4280936454849498
SVM,7-day,0.5050167224080268,0.4935136959876543,0.5746753246753247,0.5175438596491229,0.5446153846153846,0.4280936454849498
Random Forest,7-day,0.4921962095875139,0.4975766782407407,0.5649717514124294,0.4873294346978557,0.5232862375719518,0.4280936454849498
LSTM,7-day,0.5440356744704571,0.5152944028183886,0.5626506024096386,0.9103313840155945,0.695457930007446,0.4280936454849498
Logistic Regression,30-day,0.48642533936651583,0.5167804417619962,0.6092124814264487,0.3886255924170616,0.47453703703703703,0.40328054298642535
SVM,30-day,0.504524886877828,0.4852601982146062,0.5980284775465499,0.5175355450236967,0.5548780487804879,0.40328054298642535
Random Forest,30-day,0.47794117647058826,0.47485094022320745,0.5741573033707865,0.4843601895734597,0.5254498714652956,0.40328054298642535
LSTM,30-day,0.5503393665158371,0.4624748243520802,0.5788834951456311,0.9042654028436019,0.7058823529411765,0.40328054298642535
