Model,Horizon,False_Positive_Rate,True_Positive_Rate,Threshold
Logistic Regression,1-day,0.0,0.0,inf
Logistic Regression,1-day,0.0011668611435239206,0.0,0.7609600010245023
Logistic Regression,1-day,0.005834305717619603,0.0,0.5683496864719058
Logistic Regression,1-day,0.005834305717619603,0.00211864406779661,0.5500248371686137
Logistic Regression,1-day,0.007001166861143524,0.00211864406779661,0.5430539801298347
Logistic Regression,1-day,0.007001166861143524,0.00423728813559322,0.5406591184731875
Logistic Regression,1-day,0.009334889148191364,0.00423728813559322,0.5379436160692689
Logistic Regression,1-day,0.009334889148191364,0.007415254237288136,0.5364586585948898
Logistic Regression,1-day,0.010501750291715286,0.007415254237288136,0.5363107710556401
Logistic Regression,1-day,0.010501750291715286,0.00847457627118644,0.5362251194006622
Logistic Regression,1-day,0.011668611435239206,0.00847457627118644,0.5354869904200696
Logistic Regression,1-day,0.011668611435239206,0.013771186440677966,0.5327193832784242
Logistic Regression,1-day,0.012835472578763127,0.013771186440677966,0.531890640308101
Logistic Regression,1-day,0.012835472578763127,0.01694915254237288,0.5311723951284593
Logistic Regression,1-day,0.014002333722287048,0.01694915254237288,0.5311067082743373
Logistic Regression,1-day,0.014002333722287048,0.020127118644067795,0.5294124768719768
Logistic Regression,1-day,0.01633605600933489,0.020127118644067795,0.5290698691437696
Logistic Regression,1-day,0.01633605600933489,0.022245762711864406,0.5286313787330031
Logistic Regression,1-day,0.01750291715285881,0.022245762711864406,0.5284840085504199
Logistic Regression,1-day,0.01750291715285881,0.024364406779661018,0.5281918229523092
Logistic Regression,1-day,0.01866977829638273,0.024364406779661018,0.5281346161358915
Logistic Regression,1-day,0.01866977829638273,0.026483050847457626,0.5277457851058684
Logistic Regression,1-day,0.019836639439906652,0.026483050847457626,0.5275963665269795
Logistic Regression,1-day,0.019836639439906652,0.02754237288135593,0.5269858050692522
Logistic Regression,1-day,0.021003500583430573,0.02754237288135593,0.5265489524549136
Logistic Regression,1-day,0.021003500583430573,0.028601694915254237,0.5259887265158384
Logistic Regression,1-day,0.023337222870478413,0.028601694915254237,0.5255992857808972
Logistic Regression,1-day,0.023337222870478413,0.029661016949152543,0.5250221703406441
Logistic Regression,1-day,0.024504084014002333,0.029661016949152543,0.524952121811128
Logistic Regression,1-day,0.024504084014002333,0.03283898305084746,0.5234735255642027
Logistic Regression,1-day,0.026837806301050177,0.03283898305084746,0.5233132959282512
Logistic Regression,1-day,0.026837806301050177,0.036016949152542374,0.5231896899514472
Logistic Regression,1-day,0.029171528588098017,0.036016949152542374,0.5228684540789214
Logistic Regression,1-day,0.029171528588098017,0.038135593220338986,0.5225003393550426
Logistic Regression,1-day,0.03500583430571762,0.038135593220338986,0.5210611758961922
Logistic Regression,1-day,0.03500583430571762,0.0423728813559322,0.5206045525236288
Logistic Regression,1-day,0.03617269544924154,0.0423728813559322,0.5204246787007957
Logistic Regression,1-day,0.03617269544924154,0.04343220338983051,0.5203537002401258
Logistic Regression,1-day,0.039673278879813305,0.04343220338983051,0.5200682781487294
Logistic Regression,1-day,0.039673278879813305,0.04449152542372881,0.5198274955168475
Logistic Regression,1-day,0.043173862310385065,0.04449152542372881,0.5192545792636272
Logistic Regression,1-day,0.043173862310385065,0.045550847457627115,0.5191661230165698
Logistic Regression,1-day,0.044340723453908985,0.045550847457627115,0.5190919410022039
Logistic Regression,1-day,0.044340723453908985,0.04766949152542373,0.5189481213731134
Logistic Regression,1-day,0.046674445740956826,0.04766949152542373,0.5189343644722405
